race_id,season,round,date,race_name,circuit_id,circuit_name,driver_id,driver_name,constructor,grid,qualifying,sprint_position,finish_position,points,status,is_finished,is_win,is_podium,is_top10,best_clean_lap,avg_best_35pct_lap,lap_consistency,valid_laps,pit_stop_count,avg_pit_duration,min_pit_duration
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,vettel,Sebastian Vettel,Ferrari,3,3,,1,25.0,Finished,1,1,1,1,,,,0,1,21.787,21.787
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,hamilton,Lewis Hamilton,Mercedes,1,1,,2,18.0,Finished,1,0,1,1,,,,0,1,21.821,21.821
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,raikkonen,Kimi Räikkönen,Ferrari,2,2,,3,15.0,Finished,1,0,1,1,,,,0,1,21.421,21.421
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,ricciardo,Daniel Ricciardo,Red Bull,8,5,,4,12.0,Finished,1,0,0,1,,,,0,1,21.44,21.44
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,alonso,Fernando Alonso,McLaren,10,11,,5,10.0,Finished,1,0,0,1,,,,0,1,22.573,22.573
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,max_verstappen,Max Verstappen,Red Bull,4,4,,6,8.0,Finished,1,0,0,1,,,,0,1,20.953,20.953
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,hulkenberg,Nico Hülkenberg,Renault,7,8,,7,6.0,Finished,1,0,0,1,,,,0,1,22.628,22.628
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,bottas,Valtteri Bottas,Mercedes,15,10,,8,4.0,Finished,1,0,0,1,,,,0,1,21.664,21.664
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,vandoorne,Stoffel Vandoorne,McLaren,11,12,,9,2.0,Finished,1,0,0,1,,,,0,1,22.474,22.474
2018-1,2018,1,2018-03-25T10:40:00+05:30,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,sainz,Carlos Sainz,Renault,9,9,,10,1.0,Finished,1,0,0,1,,,,0,1,23.868,23.868
